pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
MOA-2007-BLG-400L,b,MOA-2007-BLG-400L b,Microlensing,0,1,,0.72,,,0.83,Mass,,,0,0,0,0,18h09m41.98s,272.424917,-29d13m27.0s,-29.224153,5800,,,,,,0.3,,10/29/14,MOA
MOA-2008-BLG-310L,b,MOA-2008-BLG-310L b,Microlensing,0,1,,1.61,,,0.07362,Mass,,,0,0,0,0,17h54m14.53s,268.560542,-34d46m41.0s,-34.778053,7700,,,,,,0.21,,8/3/17,MOA
MOA-2008-BLG-379L,b,MOA-2008-BLG-379L b,Microlensing,0,1,,2.7,,,4.1,Mass,,,0,0,0,1,17h58m49.44s,269.706,-30d11m49.0s,-30.196931,3300,,,,,,0.56,,1/30/20,MOA
MOA-2009-BLG-266L,b,MOA-2009-BLG-266L b,Microlensing,0,1,2774,3.2,,,0.033,Mass,,,0,0,0,0,17h48m01.95s,267.008125,-35d00m19.5s,-35.005411,3040,,,,,,0.56,,10/29/14,MOA
MOA-2009-BLG-319L,b,MOA-2009-BLG-319L b,Microlensing,0,1,,2.4,,,0.16,Mass,,,0,0,0,0,18h06m58.13s,271.742208,-26d49m10.9s,-26.819692,6100,,,,,,0.38,,10/29/14,MOA
MOA-2009-BLG-387L,b,MOA-2009-BLG-387L b,Microlensing,0,1,1982,1.8,,52,2.6,Mass,,,0,0,0,1,17h53m50.79s,268.461625,-33d59m25.2s,-33.990333,5690,,,,,,0.19,,3/19/20,MOA
MOA-2010-BLG-073L,b,MOA-2010-BLG-073L b,Microlensing,0,1,,1.21,,,11,Mass,,,0,0,0,0,18h10m11.34s,272.547258,-26d31m22.6s,-26.522932,2800,,,,,,0.16,,5/14/14,MOA
MOA-2010-BLG-117L,b,MOA-2010-BLG-117L b,Microlensing,0,1,,2.9,,,0.54,Mass,,,0,0,0,1,18h07m49.67s,271.95697,-25d20m40.7s,-25.344639,3500,,,,,,0.58,,4/5/18,MOA
MOA-2010-BLG-328L,b,MOA-2010-BLG-328L b,Microlensing,0,1,,0.92,,,0.02895,Mass,,,0,0,0,0,17h57m59.12s,269.496333,-30d42m54.6s,-30.715175,810,,,,,,0.11,,6/4/15,MOA
MOA-2010-BLG-353L,b,MOA-2010-BLG-353L b,Microlensing,0,1,,1.72,,,0.27,Mass,,,0,0,0,0,18h05m12.94s,271.303917,-27d17m35.6s,-27.293233,6430,,,,,,0.18,,6/9/16,MOA
MOA-2010-BLG-477L,b,MOA-2010-BLG-477L b,Microlensing,0,1,,2,,,1.5,Mass,,,0,0,0,0,18h06m07.44s,271.531006,-31d27m16.1s,-31.454477,2300,,,,,5950,0.67,,10/29/14,MOA
MOA-2011-BLG-028L,b,MOA-2011-BLG-028L b,Microlensing,0,1,,4.14,,,0.09439,Mass,,,0,0,0,0,18h03m24.96s,270.854,-29d12m48.3s,-29.213417,7380,,,,,,0.75,,3/24/16,MOA
MOA-2011-BLG-262L,b,MOA-2011-BLG-262L b,Microlensing,0,1,,0.95,,,0.05349,Mass,,,0,0,0,1,18h00m23.48s,270.097833,-31d14m42.9s,-31.245258,7000,,,,,,0.12,,3/19/20,MOA
MOA-2011-BLG-291L,b,MOA-2011-BLG-291L b,Microlensing,0,1,,0.69,,,0.05663,Mass,,,0,0,0,0,17h55m28.29s,268.867889,-29d10m14.4s,-29.170666,4400,,,,,,0.15,,11/29/18,MOA
MOA-2011-BLG-293L,b,MOA-2011-BLG-293L b,Microlensing,0,1,,1.1,,,4.8,Mass,,,0,0,0,0,17h55m39.35s,268.913958,-28d28m36.6s,-28.476847,7720,,,,,,0.86,,5/14/14,MOA
MOA-2011-BLG-322L,b,MOA-2011-BLG-322L b,Microlensing,0,1,,4.3,,,11.6,Mass,,,0,0,0,0,18h04m53.60s,271.223333,-27d13m15.4s,-27.220944,7560,,,,,,0.39,,5/14/14,MOA
MOA-2012-BLG-006L,b,MOA-2012-BLG-006L b,Microlensing,0,1,,10.2,,,8.4,Mass,,,0,0,0,0,18h01m46.31s,270.442963,-29d06m31.6s,-29.108778,5300,,,,,,0.49,,9/15/17,Multiple Observatories
MOA-2012-BLG-505L,b,MOA-2012-BLG-505L b,Microlensing,0,1,,0.9,,,0.02108,Mass,,,0,0,0,0,17h52m34.34s,268.143097,-32d02m24.3s,-32.040092,7210,,,,,,0.1,,6/22/17,MOA
MOA-2013-BLG-220L,b,MOA-2013-BLG-220L b,Microlensing,0,1,,3.03,,,2.74,Mass,,,0,0,0,0,18h03m56.5s,270.985417,-29d32m41s,-29.544722,6720,,,,,,0.88,,12/3/20,MOA
MOA-2013-BLG-605L,b,MOA-2013-BLG-605L b,Microlensing,0,1,,0.94,,,0.01007,Mass,,,0,0,0,0,17h58m42.85s,269.678542,-29d23m53.7s,-29.398239,,,,,,,0.03,,5/19/16,MOA
MOA-2015-BLG-337L,b,MOA-2015-BLG-337L b,Microlensing,0,1,,0.24,,,0.10603,Mass,,,0,0,0,0,18h07m47.69s,271.9487,-28d10m13.0s,-28.170279,7100,,,,,,0.01,,11/8/18,MOA
MOA-2016-BLG-227L,b,MOA-2016-BLG-227L b,Microlensing,0,1,,1.67,,,2.8,Mass,,,0,0,0,1,18h05m53.70s,271.473755,-27d42m51.4s,-27.714287,6500,,,,,,0.29,,5/18/17,MOA
MOA-2016-BLG-319L,b,MOA-2016-BLG-319L b,Microlensing,0,1,,0.95,,,0.62,Mass,,,0,0,0,0,17h54m58.13s,268.742218,-29d45m01.7s,-29.750463,6800,,,,,,0.15,,11/29/18,MOA
MOA-bin-1L,b,MOA-bin-1L b,Microlensing,0,1,,8.3,,,3.7,Mass,,,0,0,0,0,17h27m10.20s,261.7925,-29d47m38.3s,-29.793972,5100,,,,,,0.75,,5/14/14,MOA
MOA-bin-29,b,MOA-bin-29 b,Microlensing,0,1,,0.48,,,0.6,Mass,,,0,0,0,1,17h57m30.23s,269.375958,-29d44m11.63s,-29.736564,7120,,,,,,0.03,,11/7/19,MOA
MXB 1658-298,b,MXB 1658-298 b,Eclipse Timing Variations,0,1,760,1.613,,,23.7,Mass,,,0,0,0,1,17h02m06.54s,255.527252,-29d56m44.1s,-29.945583,,,,,,,1.98,,7/27/17,Multiple Observatories
NGC 2682 Sand 364,b,NGC 2682 Sand 364 b,Radial Velocity,0,1,121.71,0.53,0.35,,6.69,Msini,,,0,0,0,0,08h49m56.82s,132.48676,+11d41m32.9s,11.692484,837.03,837.03,9.8,V (Johnson),9.404,4284,9.06,39.59,9/6/18,Multiple Observatories
NGC 2682 Sand 978,b,NGC 2682 Sand 978 b,Radial Velocity,0,1,511.21,,0.16,,2.18,Msini,,,0,0,0,0,08h51m17.48s,132.82283,+11d45m22.7s,11.756299,842.01,842.01,9.71,V (Johnson),9.253,4200,1.37,,3/30/17,Multiple Observatories
NGC 2682 YBP 1194,b,NGC 2682 YBP 1194 b,Radial Velocity,0,1,6.959,,0.3,,0.32,Msini,,,0,0,0,0,08h51m00.81s,132.753364,+11d48m52.8s,11.814655,895.73,895.73,14.6,V (Johnson),14.467,5780,1.01,,7/7/16,Multiple Observatories
NGC 2682 YBP 1514,b,NGC 2682 YBP 1514 b,Radial Velocity,0,1,5.118,,0.28,,0.4,Msini,,,0,0,0,0,08h51m00.77s,132.753193,+11d53m11.5s,11.88653,939.38,939.38,14.77,V (Johnson),14.62,5725,0.96,,7/7/16,Multiple Observatories
NGC 2682 YBP 401,b,NGC 2682 YBP 401 b,Radial Velocity,0,1,4.087,,0.15,,0.46,Msini,,,0,0,0,0,08h51m19.05s,132.82936,+11d40m15.7s,11.67102,851.36,851.36,13.7,V (Johnson),13.589,6165,1.14,,7/7/16,La Silla Observatory
NGTS-1,b,NGTS-1 b,Transit,0,1,2.647298,0.0326,0.016,85.27,0.812,Mass,1.33,0.42,0,0,0,0,05h30m51.45s,82.714378,-36d37m50.8s,-36.630787,224,219.5,15.524,V (Johnson),14.866,3916,0.62,0.57,11/9/17,Paranal Observatory
NGTS-10,b,NGTS-10 b,Transit,0,1,0.7668944,0.0143,0,,2.162,Mass,1.205,1.43,0,0,0,0,06h07m29.3472s,91.87228,-25d35m41.6268s,-25.594896,324.7,324.7,14.34,V (Johnson),14.26,4600,0.7,0.7,3/19/20,Paranal Observatory
NGTS-11,b,NGTS-11 b,Transit,0,1,35.45533,0.201,0.13,89.16,0.344,Mass,0.817,0.78,0,0,0,1,01h34m05.15s,23.521458,-14d25m08.9s,-14.419139,191.46,191.46,12.456,V (Johnson),12.189,5050,0.86,0.83,7/9/20,Transiting Exoplanet Survey Satellite (TESS)
NGTS-12,b,NGTS-12 b,Transit,0,1,7.532806,0.0757,0,88.9,0.208,Mass,1.048,0.223,0,0,0,0,11h44m59.986s,176.249942,-35d38m26.0267s,-35.640563,452,452.13,12.382,V (Johnson),12.128,5690,1.02,1.59,10/22/20,Paranal Observatory
NGTS-2,b,NGTS-2 b,Transit,0,1,4.511164,0.063,0,88.5,0.74,Mass,1.595,0.226,0,0,0,0,14h20m29.49s,215.122879,-31d12m07.5s,-31.20207,360.3,359.81,10.961,V (Johnson),10.86,6478,1.64,1.7,10/4/18,Paranal Observatory
NGTS-3 A,b,NGTS-3 A b,Transit,0,1,1.6753728,0.023,,89.56,2.38,Mass,1.48,0.31,0,0,0,0,06h17m46.75s,94.444794,-35d42m23.0s,-35.706394,1010,760.26,14.642,V (Johnson),14.488,5600,1.02,0.93,5/31/18,Paranal Observatory
NGTS-4,b,NGTS-4 b,Transit,0,1,1.3373508,0.019,0,82.5,0.06481,Mass,0.284,3.45,0,0,0,0,05h58m23.76s,89.599,-30d48m42.49s,-30.811803,282.6,282.84,,,12.909,5143,0.75,0.84,5/16/19,Paranal Observatory
NGTS-5,b,NGTS-5 b,Transit,0,1,3.3569866,0.0382,0,86.6,0.229,Mass,1.136,,0,0,0,0,14h44m13.9842s,221.058267,+05d36m19.347s,5.605374,309.5,309.5,,,13.526,4987,0.66,0.74,5/16/19,Paranal Observatory
NGTS-6,b,NGTS-6 b,Transit,0,1,0.882059,0.01677,0,78.231,1.339,Mass,1.326,0.711,0,0,0,1,05h03m10.90s,75.795417,-30d23m57.6420s,-30.399345,311.03,311.03,14.087,V (Johnson),13.818,4730,0.77,0.75,9/26/19,Paranal Observatory
NGTS-8,b,NGTS-8 b,Transit,0,1,2.4997,0.035,0.01,86.9,0.93,Mass,1.09,0.89,0,0,0,0,21h55m54.2s,328.975833,-14d04m05.85s,-14.068292,434.28,434.28,13.68,V (Johnson),13.495,5241,0.89,0.98,11/21/19,Paranal Observatory
NGTS-9,b,NGTS-9 b,Transit,0,1,4.43527,0.058,0.06,84.1,2.9,Mass,1.07,2.93,0,0,0,0,09h27m41.0s,141.920833,-19d20m50.33s,-19.347314,619.74,619.74,12.8,V (Johnson),12.655,6330,1.34,1.38,11/21/19,Paranal Observatory
NN Ser,c,NN Ser c,Eclipse Timing Variations,0,2,5573.55,5.35,0.08,,7.33,Mass,,,0,0,0,0,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,500,521.75,,,16.59,57000,0.54,,5/14/14,Multiple Observatories
NN Ser,d,NN Ser d,Eclipse Timing Variations,0,2,2883.5,3.43,0.19,,2.3,Mass,,,0,0,0,0,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,500,521.75,,,16.59,57000,0.54,,5/14/14,Multiple Observatories
NSVS 14256825,b,NSVS 14256825 b,Eclipse Timing Variations,0,1,3225,3.12,0.12,,14.15,Msini,,,0,0,0,1,20h20m00.46s,305.001917,+04d37m56.52s,4.632367,838.31,838.31,,,13.245,40000,0.42,0.19,6/13/19,Multiple Observatories
NY Vir,b,NY Vir b,Eclipse Timing Variations,0,2,3160,,0.15,,2.66,Msini,,,0,0,0,0,13h38m48.15s,204.700622,-02d01m49.1s,-2.030315,551.99,551.99,,,13.394,8868.67,,,10/24/19,Multiple Observatories
NY Vir,c,NY Vir c,Eclipse Timing Variations,0,2,8799,,0.15,,5.54,Msini,,,0,0,0,0,13h38m48.15s,204.700622,-02d01m49.1s,-2.030315,551.99,551.99,,,13.394,8868.67,,,10/24/19,Winer Observatory
OGLE-2003-BLG-235L,b,OGLE-2003-BLG-235L b,Microlensing,0,1,,4.3,,,2.6,Mass,,,0,0,0,0,18h05m16.35s,271.318125,-28d53m42.0s,-28.895,5800,,,,,,0.63,,2/25/16,OGLE
OGLE-2005-BLG-071L,b,OGLE-2005-BLG-071L b,Microlensing,0,1,,3.6,,,3.8,Mass,,,0,0,0,0,17h50m09.77s,267.540708,-34d40m23.5s,-34.673194,3200,,,,,,0.46,,10/29/14,OGLE
OGLE-2005-BLG-169L,b,OGLE-2005-BLG-169L b,Microlensing,0,1,,3.5,,,0.04436,Mass,,,0,0,0,2,18h06m05.32s,271.522167,-30d43m57.5s,-30.732639,4100,,,,,,0.69,,11/19/15,OGLE
OGLE-2005-BLG-390L,b,OGLE-2005-BLG-390L b,Microlensing,0,1,3285,2.6,,,0.017,Mass,,,0,0,0,0,17h54m19.19s,268.579958,-30d22m38.3s,-30.377306,6600,,,,,,0.22,,10/29/14,OGLE
OGLE-2006-BLG-109L,b,OGLE-2006-BLG-109L b,Microlensing,0,2,1788.5,2.3,,,0.73,Mass,,,0,0,0,0,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510,,,,,,0.51,,11/5/14,OGLE
OGLE-2006-BLG-109L,c,OGLE-2006-BLG-109L c,Microlensing,0,2,4927.5,4.5,0.15,64,0.27,Mass,,,0,0,0,0,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510,,,,,,0.51,,11/5/14,OGLE
OGLE-2007-BLG-349L A,c,OGLE-2007-BLG-349L AB c,Microlensing,0,1,2557,2.59,,,0.25171,Mass,,,0,0,0,1,18h05m24.43s,271.351807,-26d25m19.0s,-26.421944,2760,,,,,,0.41,,9/29/16,OGLE
